date,opening,received,consumed,closing,dip,pairs,rate,cost,eq_DG-01,eq_DG-02,eq_BLR-01,eq_FLT,eq_VEH,eq_FP-01
2024-01-01,13800,0,836,12964,13028,10864,103.76,0,474,108,161,38,55,0
2024-01-02,12964,0,800,12164,12107,10512,104.14,0,456,93,159,34,58,0
2024-01-03,12164,0,763,11401,11418,10940,104.11,0,436,94,143,35,55,0
2024-01-04,11401,0,730,10671,10598,10490,104.17,0,420,86,134,36,54,0
2024-01-05,10671,0,175,10496,10420,2296,104.29,0,102,22,31,8,12,0
2024-01-06,10496,0,781,9715,9650,10511,104.28,0,436,89,150,35,57,14
2024-01-07,9715,0,755,8960,8983,11352,104.05,0,453,83,133,33,53,0
2024-01-08,8960,0,790,8170,8160,10176,104.04,0,440,96,159,42,53,0
2024-01-09,8170,0,800,7370,7409,9964,103.89,0,457,103,145,42,53,0
2024-01-10,7370,0,774,6596,6566,10450,104.32,0,443,89,148,39,55,0
2024-01-11,6596,0,849,5747,5765,10563,104.22,0,494,95,164,42,54,0
2024-01-12,5747,0,167,5580,5543,1936,104.07,0,97,19,31,8,12,0
2024-01-13,5580,13000,847,17733,17747,11016,104.27,1355510,494,97,146,37,59,14
2024-01-14,17733,0,814,16919,16982,10774,104.07,0,491,88,144,39,52,0
2024-01-15,16919,0,839,16080,16066,11004,104.13,0,491,97,148,42,61,0
2024-01-16,16080,0,774,15306,15381,10694,104.28,0,464,84,132,39,55,0
2024-01-17,15306,0,785,14521,14608,10180,104.23,0,446,90,152,37,60,0
2024-01-18,14521,0,791,13730,13697,11345,104.1,0,463,96,144,34,54,0
2024-01-19,13730,0,168,13562,13628,2026,104.14,0,94,19,34,9,12,0
2024-01-20,13562,0,782,12780,12761,9701,104.46,0,452,90,138,39,49,14
2024-01-21,12780,0,707,12073,12113,10574,104.21,0,388,85,146,35,53,0
2024-01-22,12073,0,792,11281,11199,10119,104.48,0,455,100,138,41,58,0
2024-01-23,11281,0,719,10562,10528,10426,104.57,0,407,94,132,33,53,0
2024-01-24,10562,0,830,9732,9803,9790,104.69,0,496,94,151,36,53,0
2024-01-25,9732,0,768,8964,8967,10904,104.56,0,465,84,137,33,49,0
2024-01-26,8964,0,168,8796,8793,2039,104.5,0,93,22,33,9,11,0
2024-01-27,8796,0,741,8055,8038,10880,104.64,0,395,97,152,35,48,14
2024-01-28,8055,0,744,7311,7331,10108,104.26,0,429,83,143,38,51,0
2024-01-29,7311,0,824,6487,6469,9708,104.57,0,473,102,155,41,53,0
2024-01-30,6487,0,758,5729,5716,10394,104.42,0,445,85,136,38,54,0
2024-01-31,5729,0,817,4912,4926,9628,104.36,0,463,94,164,40,56,0
2024-02-01,4912,13000,720,17192,17199,10851,104.73,1361490,404,88,138,33,57,0
2024-02-02,17192,0,167,17025,17158,2086,104.56,0,91,23,32,8,13,0
2024-02-03,17025,0,884,16141,16140,9818,104.48,0,518,95,161,40,56,14
2024-02-04,16141,0,800,15341,15274,10660,104.75,0,470,99,150,33,48,0
2024-02-05,15341,0,795,14546,14542,10399,104.79,0,445,105,160,34,51,0
2024-02-06,14546,0,793,13753,13711,10897,104.86,0,460,95,144,41,53,0
2024-02-07,13753,0,799,12954,12958,9910,104.5,0,474,89,148,37,51,0
2024-02-08,12954,0,815,12139,12111,11255,104.71,0,462,106,150,38,59,0
2024-02-09,12139,0,184,11955,11891,2015,104.82,0,105,23,35,8,13,0
2024-02-10,11955,0,857,11098,11139,10067,104.95,0,505,102,136,40,60,14
2024-02-11,11098,0,793,10305,10273,10214,104.75,0,435,106,165,35,52,0
2024-02-12,10305,0,809,9496,9428,9853,104.68,0,474,94,142,40,59,0
2024-02-13,9496,0,834,8662,8656,10091,104.74,0,487,105,147,36,59,0
2024-02-14,8662,0,742,7920,7974,10611,105.05,0,402,94,156,39,51,0
2024-02-15,7920,0,773,7147,7144,11204,105.06,0,430,100,156,39,48,0
2024-02-16,7147,0,166,6981,6988,2175,105.0,0,93,23,31,8,11,0
2024-02-17,6981,0,805,6176,6146,11370,105.01,0,463,102,142,36,48,14
2024-02-18,6176,0,813,5363,5372,10649,105.13,0,449,99,160,43,62,0
2024-02-19,5363,13000,865,17498,17394,10547,105.13,1366690,508,94,165,37,61,0
2024-02-20,17498,0,819,16679,16569,11001,104.77,0,485,101,143,34,56,0
2024-02-21,16679,0,891,15788,15740,11181,104.99,0,525,103,167,42,54,0
2024-02-22,15788,0,795,14993,15028,10463,104.92,0,456,92,150,42,55,0
